Count;ComponentName;RefDes;PatternName;Value
;;;;
2;90663-1101;XPU1;90663-1101;SCM-10
;90663-1101;XPU2;90663-1101;SCM-10
2;ADM2483BRW;DD1;SOIC-16W;ADM2483
;ADM2483BRW;DD2;SOIC-16W;ADM2483
2;AM4T-24XXS;DA1;AM3T-2415DNZ;FDD03-05S2
;AM4T-24XXS;DA10;AM3T-2415DNZ;FDD03-05S2
4;CAP ALUM D=6 H=12;C3;AL-0612;22uF
;CAP ALUM D=6 H=12;C6;AL-0612;22uF
;CAP ALUM D=6 H=12;C27;AL-0612;22uF
;CAP ALUM D=6 H=12;C28;AL-0612;22uF
6;CPC1035N;DA2;CPC1035N;not mount
;CPC1035N;DA3;CPC1035N;not mount
;CPC1035N;DA6;CPC1035N;not mount
;CPC1035N;DA7;CPC1035N;not mount
;CPC1035N;DA8;CPC1035N;not mount
;CPC1035N;DA9;CPC1035N;not mount
10;C_SMD_0805;C1;C_SMD_0805;0.1mkF-10% 50V X7R
;C_SMD_0805;C2;C_SMD_0805;0.1mkF-10% 50V X7R
;C_SMD_0805;C7;C_SMD_0805;0.1mkF-10% 50V X7R
;C_SMD_0805;C8;C_SMD_0805;0.1mkF-10% 50V X7R
;C_SMD_0805;C9;C_SMD_0805;0.1mkF-10% 50V X7R
;C_SMD_0805;C14;C_SMD_0805;0.1mkF-10% 50V X7R
;C_SMD_0805;C15;C_SMD_0805;0.1mkF-10% 50V X7R
;C_SMD_0805;C22;C_SMD_0805;0.1mkF-10% 50V X7R
;C_SMD_0805;C25;C_SMD_0805;0.1mkF-10% 50V X7R
;C_SMD_0805;C26;C_SMD_0805;0.1mkF-10% 50V X7R
6;C_SMD_0805;C10;C_SMD_0805;4.7 uF-10%
;C_SMD_0805;C11;C_SMD_0805;4.7mkF-10%
;C_SMD_0805;C12;C_SMD_0805;4.7mkF-10%
;C_SMD_0805;C13;C_SMD_0805;4.7mkF-10%
;C_SMD_0805;C16;C_SMD_0805;4.7mkF-10%
;C_SMD_0805;C17;C_SMD_0805;4.7mkF-10%
2;C_SMD_0805;C29;C_SMD_0805;270pF-10%  16V-X7R-
;C_SMD_0805;C30;C_SMD_0805;270pF-10%  16V-X7R-
4;C_SMD_0805;C18;C_SMD_0805;not mount
;C_SMD_0805;C19;C_SMD_0805;not mount
;C_SMD_0805;C20;C_SMD_0805;not mount
;C_SMD_0805;C21;C_SMD_0805;not mount
4;C_SMD_1808;C4;C_SMD_1808;Not Mount
;C_SMD_1808;C5;C_SMD_1808;Not Mount
;C_SMD_1808;C23;C_SMD_1808;Not Mount
;C_SMD_1808;C24;C_SMD_1808;Not Mount
2;DLW31SNXXXSQ2;L5;DLW31S;DLW31SN601SQ2
;DLW31SNXXXSQ2;L7;DLW31S;DLW31SN601SQ2
1;HY-STM32V;M1;HY-STM32V;PCB-48 x2
2;JMP3;J1;JMP_3;nm
;JMP3;J2;JMP_3;nm
2;KP-2012XXX;VD6;LED_0805;GREEN
;KP-2012XXX;VD7;LED_0805;GREEN
6;KP-2012XXX;VD22;LED_0805;not mount
;KP-2012XXX;VD23;LED_0805;not mount
;KP-2012XXX;VD24;LED_0805;not mount
;KP-2012XXX;VD25;LED_0805;not mount
;KP-2012XXX;VD32;LED_0805;not mount
;KP-2012XXX;VD33;LED_0805;not mount
2;LQH32CNXX;R2;SMD1206;240R
;LQH32CNXX;L3;LQH32CNXX;240R
2;LQH32CNXX;L4;smd1210;LQH32CN220K23L
;LQH32CNXX;L6;LQH32CNXX;LQH32CN220K23L
2;MBR05XX;VD26;SOD-123;MBR0560
;MBR05XX;VD27;SOD-123;MBR0560
2;MMBT3904;VT1;MMBT3904;not mount
;MMBT3904;VT2;MMBT3904;not mount
2;PE-65855;L1;PE-65855;PE-65855
;PE-65855;L8;PE-65855;PE-65855
8;PMLL4148L;VD2;SOD80C;not mount
;PMLL4148L;VD3;SOD80C;not mount
;PMLL4148L;VD8;SOD80C;not mount
;PMLL4148L;VD9;SOD80C;not mount
;PMLL4148L;VD28;SOD80C;not mount
;PMLL4148L;VD29;SOD80C;not mount
;PMLL4148L;VD30;SOD80C;not mount
;PMLL4148L;VD31;SOD80C;not mount
2;R_SMD1206;R55;SMD1206;1kR
;R_SMD1206;R56;SMD1206;1kR-5%
8;R_SMD1206;R35;SMD1206;not mount
;R_SMD1206;R38;SMD1206;not mount
;R_SMD1206;R40;SMD1206;not mount
;R_SMD1206;R42;SMD1206;not mount
;R_SMD1206;R44;SMD1206;not mount
;R_SMD1206;R46;SMD1206;not mount
;R_SMD1206;R48;SMD1206;not mount
;R_SMD1206;R50;SMD1206;not mount
2;R_SMD_0805;R8;R_SMD_0805;5.1k-5%
;R_SMD_0805;R12;R_SMD_0805;5.1k-5%
6;R_SMD_0805;R5;R_SMD_0805;10R-5%
;R_SMD_0805;R6;R_SMD_0805;10R-5%
;R_SMD_0805;R7;R_SMD_0805;10R-5%
;R_SMD_0805;R9;R_SMD_0805;10R-5%
;R_SMD_0805;R10;R_SMD_0805;10R-5%
;R_SMD_0805;R11;R_SMD_0805;10R-5%
2;R_SMD_0805;R22;R_SMD_0805;100R-5%
;R_SMD_0805;R25;R_SMD_0805;100R-5%
4;R_SMD_0805;R21;R_SMD_0805;560R-5%
;R_SMD_0805;R23;R_SMD_0805;560R-5%
;R_SMD_0805;R24;R_SMD_0805;560R-5%
;R_SMD_0805;R26;R_SMD_0805;560R-5%
24;R_SMD_0805;R1;R_SMD_0805;not mount
;R_SMD_0805;R2;R_SMD_0805;not mount
;R_SMD_0805;R13;R_SMD_0805;not mount
;R_SMD_0805;R14;R_SMD_0805;not mount
;R_SMD_0805;R17;R_SMD_0805;not mount
;R_SMD_0805;R18;R_SMD_0805;not mount
;R_SMD_0805;R27;R_SMD_0805;not mount
;R_SMD_0805;R28;R_SMD_0805;not mount
;R_SMD_0805;R29;R_SMD_0805;not mount
;R_SMD_0805;R30;R_SMD_0805;not mount
;R_SMD_0805;R31;R_SMD_0805;not mount
;R_SMD_0805;R32;R_SMD_0805;not mount
;R_SMD_0805;R33;R_SMD_0805;not mount
;R_SMD_0805;R34;R_SMD_0805;not mount
;R_SMD_0805;R36;R_SMD_0805;not mount
;R_SMD_0805;R37;R_SMD_0805;not mount
;R_SMD_0805;R39;R_SMD_0805;not mount
;R_SMD_0805;R41;R_SMD_0805;not mount
;R_SMD_0805;R43;R_SMD_0805;not mount
;R_SMD_0805;R45;R_SMD_0805;not mount
;R_SMD_0805;R47;R_SMD_0805;not mount
;R_SMD_0805;R49;R_SMD_0805;not mount
;R_SMD_0805;R51;R_SMD_0805;not mount
;R_SMD_0805;R52;R_SMD_0805;not mount
2;SMAJXXCA;VD12;SMA;not mount
;SMAJXXCA;VD13;SMA;not mount
6;SMAJXXCA;VD16;SMA;SMAJ5CA
;SMAJXXCA;VD17;SMA;SMAJ5CA
;SMAJXXCA;VD18;SMA;SMAJ5CA
;SMAJXXCA;VD19;SMA;SMAJ5CA
;SMAJXXCA;VD20;SMA;SMAJ5CA
;SMAJXXCA;VD21;SMA;SMAJ5CA
1;SS24;VD1;SMA;SS26
1;TYCO 796636-3;XPU5;WIRE_TO_BOARD_3_5.08;2EDGV-5.08-3 + 2EDGK-5.08-3
1;TYCO 796636-4;XPU3;WIRE_TO_BOARD_4_5.08;not mount
1;TYCO 796636-6;XPU4;WIRE_TO_BOARD_6_5.08;not mount
1;brd;BRD;pcb;Pu-v1.2
